Wed Jun 07 2023 16:1:6 | [UM] INFO: Database Connected Successfully
Wed Jun 07 2023 16:1:6 | [UM] INFO: Application listening on port 5000
Wed Jun 07 2023 16:8:22 | [UM] INFO: Database Connected Successfully
Wed Jun 07 2023 16:8:22 | [UM] INFO: Application listening on port 5000
Wed Jun 07 2023 16:19:35 | [UM] INFO: Database Connected Successfully
Wed Jun 07 2023 16:19:35 | [UM] INFO: Application listening on port 5000
Wed Jun 07 2023 16:21:41 | [UM] INFO: Database Connected Successfully
Wed Jun 07 2023 16:21:41 | [UM] INFO: Application listening on port 5000
Wed Jun 07 2023 16:22:34 | [UM] INFO: Database Connected Successfully
Wed Jun 07 2023 16:22:34 | [UM] INFO: Application listening on port 5000
Wed Jun 07 2023 16:24:31 | [UM] INFO: Database Connected Successfully
Wed Jun 07 2023 16:24:31 | [UM] INFO: Application listening on port 5000
Wed Jun 07 2023 16:31:41 | [UM] INFO: Database Connected Successfully
Wed Jun 07 2023 16:31:41 | [UM] INFO: Application listening on port 5000
Wed Jun 07 2023 16:35:34 | [UM] INFO: Database Connected Successfully
Wed Jun 07 2023 16:35:34 | [UM] INFO: Application listening on port 5000
